Date,KBANK
2009-03-05,42.1
2009-03-06,41.65
2009-03-09,41.15
2009-03-10,41.2
2009-03-11,41.85
2009-03-12,41.35
2009-03-13,42.35
2009-03-16,43.0
2009-03-17,42.75
2009-03-18,43.1
2009-03-19,43.35
2009-03-20,43.5
2009-03-23,44.3
2009-03-24,45.65
2009-03-25,45.1
2009-03-26,45.6
2009-03-27,46.25
2009-03-30,45.35
2009-03-31,45.0
2009-04-01,45.2
2009-04-02,47.0
2009-04-03,48.5
2009-04-07,49.4
2009-04-08,49.3
2009-04-09,50.0
2009-04-10,49.7
2009-04-16,49.6
2009-04-17,48.85
2009-04-20,48.6
2009-04-21,48.4
2009-04-22,48.6
2009-04-23,48.5
2009-04-24,49.25
2009-04-27,50.65
2009-04-28,51.6
2009-04-29,52.0
2009-04-30,52.75
2009-05-04,53.5
2009-05-06,55.0
2009-05-07,56.4
2009-05-11,55.9
2009-05-12,56.1
2009-05-13,56.1
2009-05-14,53.0
2009-05-15,53.75
2009-05-18,55.25
2009-05-19,58.9
2009-05-20,59.65
2009-05-21,58.4
2009-05-22,57.5
2009-05-25,56.9
2009-05-26,56.4
2009-05-27,56.75
2009-05-28,55.8
2009-05-29,56.0
2009-06-01,57.4
2009-06-02,58.1
2009-06-03,60.75
2009-06-04,64.7
2009-06-05,67.9
2009-06-08,68.25
2009-06-09,67.9
2009-06-10,69.85
2009-06-11,72.75
2009-06-12,73.0
2009-06-15,69.5
2009-06-16,66.2
2009-06-17,64.6
2009-06-18,63.4
2009-06-19,64.2
2009-06-22,66.0
2009-06-23,63.35
2009-06-24,64.35
2009-06-25,66.25
2009-06-26,66.7
2009-06-29,67.0
2009-06-30,67.6
2009-07-02,65.6
2009-07-03,64.5
2009-07-06,65.0
2009-07-08,64.25
2009-07-09,64.15
2009-07-10,63.85
2009-07-13,62.25
2009-07-14,63.85
2009-07-15,65.6
2009-07-16,66.2
2009-07-17,66.5
2009-07-20,68.3
2009-07-21,68.0
2009-07-22,67.25
2009-07-23,68.0
2009-07-24,68.85
2009-07-27,69.65
2009-07-28,70.6
2009-07-29,71.3
2009-07-30,71.3
2009-07-31,72.5
2009-08-03,74.1
2009-08-04,75.5
2009-08-05,74.6
2009-08-06,74.25
2009-08-07,74.0
2009-08-10,73.9
2009-08-11,71.6
2009-08-13,71.9
2009-08-14,72.4
2009-08-17,70.0
2009-08-18,70.65
2009-08-19,71.35
2009-08-20,71.85
2009-08-21,72.5
2009-08-24,73.7
2009-08-25,73.65
2009-08-26,72.5
2009-08-27,71.75
2009-08-28,72.25
2009-08-31,72.25
2009-09-01,73.25
2009-09-02,73.35
2009-09-03,73.85
2009-09-04,73.0
2009-09-07,73.7
2009-09-08,75.65
2009-09-09,76.9
2009-09-10,77.25
2009-09-11,77.9
2009-09-14,77.25
2009-09-15,77.15
2009-09-16,77.35
2009-09-17,78.1
2009-09-18,78.4
2009-09-21,78.3
