Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,29.7771,30.013399,28.8318,28.8318,15.950303,2378495.0
2000-01-05,26.232201,26.9412,25.2869,25.523199,14.119921,2489676.0
2000-01-06,25.523199,26.232201,24.3416,24.814199,13.72769,1263932.0
2000-01-07,25.523199,26.7048,24.814199,26.7048,14.773603,814659.0
2000-01-10,27.413799,27.413799,25.9958,25.9958,14.381373,1466724.0
2000-01-11,26.232201,26.232201,24.814199,24.814199,13.72769,286575.0
2000-01-12,24.5779,25.0506,24.3416,24.5779,13.596964,544375.0
2000-01-13,24.5779,25.0506,24.1052,24.1052,13.335457,340949.0
2000-01-14,24.5779,25.0506,24.3416,24.5779,13.596964,808523.0
2000-01-17,25.523199,25.759501,24.814199,25.0506,13.858469,2066849.0
2000-01-18,25.2869,25.759501,25.0506,25.523199,14.119921,1305295.0
2000-01-19,25.759501,26.232201,25.523199,25.759501,14.250647,1569337.0
2000-01-20,26.232201,26.9412,26.232201,26.4685,14.642878,2181627.0
2000-01-21,26.4685,27.1775,25.9958,26.232201,14.512154,1742085.0
2000-01-24,26.7048,26.7048,25.759501,25.9958,14.381373,334813.0
2000-01-25,25.9958,25.9958,25.2869,25.523199,14.119921,501743.0
2000-01-26,25.9958,25.9958,25.2869,25.2869,13.989194,622445.0
2000-01-27,25.2869,25.759501,25.2869,25.759501,14.250647,417538.0
2000-01-28,25.759501,25.759501,25.2869,25.2869,13.989194,111816.0
2000-01-31,24.5779,25.0506,24.5779,24.5779,13.596964,496137.0
2000-02-01,25.0506,25.2869,24.5779,24.5779,13.596964,255791.0
2000-02-02,24.814199,25.0506,23.8689,23.8689,13.204731,315137.0
2000-02-03,23.8689,24.5779,23.632601,23.632601,13.074003,234739.0
2000-02-04,23.632601,24.1052,23.632601,24.1052,13.335457,93621.0
2000-02-07,24.1052,24.1052,23.632601,23.632601,13.074003,70877.0
2000-02-08,23.632601,23.8689,21.742001,22.2146,12.289541,641064.0
2000-02-09,22.6873,22.6873,20.323999,20.5604,11.374406,677031.0
2000-02-10,20.5604,21.2693,19.8514,21.2693,11.766582,382417.0
2000-02-11,21.2693,21.9783,20.7967,21.033001,11.635857,246270.0
2000-02-14,21.2693,21.505699,21.033001,21.2693,11.766582,200782.0
2000-02-15,21.2693,21.505699,20.5604,20.5604,11.374406,197820.0
2000-02-16,20.5604,20.7967,20.0877,20.0877,11.1129,296413.0
2000-02-17,20.323999,20.323999,18.6698,19.142401,10.589941,363058.0
2000-02-18,18.6698,18.906099,17.9608,18.6698,10.328489,603721.0
2000-02-21,18.6698,18.6698,18.6698,18.6698,10.328489,0.0
2000-02-22,18.433399,18.433399,16.7791,16.7791,9.282518,482702.0
2000-02-23,17.015499,17.7244,16.306499,17.7244,9.805475,199089.0
2000-02-24,17.7244,17.9608,16.7791,17.251801,9.544024,302442.0
2000-02-25,16.542801,17.4881,16.0702,17.4881,9.674749,383580.0
