Date,MINT
2008-02-07,13.1
2008-02-08,13.1
2008-02-11,13.05
2008-02-12,13.0
2008-02-13,13.1
2008-02-14,13.149999999999999
2008-02-15,13.45
2008-02-18,13.600000000000001
2008-02-19,13.8
2008-02-20,13.85
2008-02-22,13.55
2008-02-25,13.350000000000001
2008-02-26,13.3
2008-02-27,13.45
2008-02-28,13.649999999999999
2008-02-29,13.75
2008-03-03,13.75
2008-03-04,13.95
2008-03-05,13.850000000000001
2008-03-06,13.95
2008-03-07,13.9
2008-03-10,13.7
2008-03-11,13.5
2008-03-12,13.6
2008-03-13,13.6
2008-03-14,13.6
2008-03-17,13.350000000000001
2008-03-18,13.5
2008-03-19,13.649999999999999
2008-03-20,13.5
2008-03-21,13.6
2008-03-24,13.7
2008-03-25,13.649999999999999
2008-03-26,13.75
2008-03-27,13.850000000000001
2008-03-28,13.75
2008-03-31,13.8
2008-04-01,14.25
2008-04-02,14.45
2008-04-03,14.5
2008-04-04,14.5
2008-04-08,14.25
2008-04-09,14.0
2008-04-10,13.649999999999999
2008-04-11,13.7
2008-04-16,13.7
2008-04-17,13.75
2008-04-18,13.649999999999999
2008-04-21,13.6
2008-04-22,13.55
2008-04-23,13.4
2008-04-24,13.4
2008-04-25,13.55
2008-04-28,13.5
2008-04-29,13.4
2008-04-30,13.2
2008-05-02,13.5
2008-05-06,13.6
2008-05-07,14.350000000000001
2008-05-08,14.55
2008-05-09,14.649999999999999
2008-05-12,14.75
2008-05-13,14.9
2008-05-14,14.95
2008-05-15,14.95
2008-05-16,14.850000000000001
2008-05-20,14.850000000000001
2008-05-21,14.8
2008-05-22,14.8
2008-05-23,15.0
2008-05-26,14.95
2008-05-27,14.95
2008-05-28,14.75
2008-05-29,14.7
2008-05-30,14.95
2008-06-02,14.850000000000001
2008-06-03,14.850000000000001
2008-06-04,14.9
2008-06-05,14.850000000000001
2008-06-06,14.850000000000001
2008-06-09,14.75
2008-06-10,14.649999999999999
2008-06-11,14.5
2008-06-12,13.4
2008-06-13,13.5
2008-06-16,13.5
2008-06-17,13.2
2008-06-18,13.0
2008-06-19,12.75
2008-06-20,12.8
2008-06-23,12.850000000000001
2008-06-24,12.7
2008-06-25,13.0
2008-06-26,13.1
2008-06-27,12.850000000000001
2008-06-30,12.95
2008-07-02,12.7
2008-07-03,12.6
2008-07-04,12.9
2008-07-07,12.65
2008-07-08,12.5
2008-07-09,12.25
2008-07-10,12.2
2008-07-11,12.1
2008-07-14,12.0
2008-07-15,11.8
2008-07-16,11.5
2008-07-18,11.6
2008-07-21,12.05
2008-07-22,12.2
2008-07-23,12.45
2008-07-24,12.5
2008-07-25,12.5
2008-07-28,12.5
2008-07-29,12.3
2008-07-30,12.0
2008-07-31,11.9
2008-08-01,11.649999999999999
2008-08-04,11.5
2008-08-05,11.45
2008-08-06,11.75
2008-08-07,12.350000000000001
2008-08-08,12.2
2008-08-11,12.45
2008-08-13,12.600000000000001
2008-08-14,12.7
2008-08-15,12.850000000000001
2008-08-18,12.75
2008-08-19,12.55
2008-08-20,12.5
2008-08-21,12.4
2008-08-22,12.05
2008-08-25,11.9
2008-08-26,11.8
2008-08-27,11.8
2008-08-28,11.9
2008-08-29,11.8
2008-09-01,11.6
2008-09-02,11.3
2008-09-03,10.95
2008-09-04,10.95
2008-09-05,10.3
2008-09-08,10.55
2008-09-09,10.7
2008-09-10,10.75
2008-09-11,10.95
2008-09-12,11.2
2008-09-15,11.3
2008-09-16,10.9
2008-09-17,10.45
2008-09-18,9.85
2008-09-19,10.5
2008-09-22,10.55
2008-09-23,10.45
2008-09-24,10.4
2008-09-25,10.3
2008-09-26,10.3
2008-09-29,10.3
2008-09-30,9.8
2008-10-01,10.15
2008-10-02,10.2
2008-10-03,10.0
2008-10-06,9.4
2008-10-07,8.5
2008-10-08,7.8
2008-10-09,7.449999999999999
2008-10-10,6.1
2008-10-13,6.25
2008-10-14,6.7
2008-10-15,6.7
2008-10-16,6.65
2008-10-17,6.9
2008-10-20,6.95
2008-10-21,6.95
2008-10-22,6.9
2008-10-24,6.55
2008-10-27,6.35
2008-10-28,6.2
2008-10-29,6.4
2008-10-30,6.55
2008-10-31,6.7
2008-11-03,7.0
2008-11-04,7.15
2008-11-05,7.300000000000001
2008-11-06,6.7
2008-11-07,6.9
2008-11-10,7.1
2008-11-11,6.75
2008-11-12,6.5
2008-11-13,6.3
2008-11-14,6.4
2008-11-17,6.45
2008-11-18,6.35
2008-11-19,6.3
2008-11-20,5.75
2008-11-21,5.4
2008-11-24,5.45
2008-11-25,5.6
2008-11-26,5.5
2008-11-27,5.6
2008-11-28,5.800000000000001
2008-12-01,5.4
2008-12-02,4.95
2008-12-03,5.35
2008-12-04,5.25
2008-12-08,5.45
2008-12-09,5.5
2008-12-11,5.25
